type;iocs;Verions
package;git-branch-selector;ÿ1.3.3,ÿ1.3.4,ÿ1.3.5,ÿ1.3.6,ÿ1.3.7
package;wot-api;ÿ0.8.1,ÿ0.8.2,ÿ0.8.3,ÿ0.8.4
package;git-git-git;ÿ1.0.8,ÿ1.0.9,ÿ1.0.10,ÿ1.0.11,ÿ1.0.12
package;@beproduct/nestjs-auth;ÿ0.1.2,ÿ0.1.3,ÿ0.1.4,ÿ0.1.5,ÿ0.1.6,ÿ0.1.7,ÿ0.1.8,ÿ0.1.9,ÿ0.1.10,ÿ0.1.11,ÿ0.1.12,ÿ0.1.13,ÿ0.1.14,ÿ0.1.15,ÿ0.1.16,ÿ0.1.17,ÿ0.1.18,ÿ0.1.19
package;@ml-toolkit-ts/xgboost;ÿ1.0.3,ÿ1.0.4
package;nextmove-mcp;ÿ0.1.3,ÿ0.1.4,ÿ0.1.5,ÿ0.1.6,ÿ0.1.7
package;ml-toolkit-ts;ÿ1.0.4,ÿ1.0.5
package;@uipath/telemetry;ÿ0.0.7
package;@draftauth/client;ÿ0.2.1,ÿ0.2.2
package;@ml-toolkit-ts/preprocessing;ÿ1.0.2,ÿ1.0.3
package;@tallyui/connector-medusa;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3
package;@uipath/tool-workflowcompiler;ÿ0.0.12
package;@uipath/vss;ÿ0.1.6
package;@tallyui/theme;ÿ0.2.1,ÿ0.2.2,ÿ0.2.3
package;@tallyui/storage-sqlite;ÿ0.2.1,ÿ0.2.2,ÿ0.2.3
package;@uipath/solutionpackager-sdk;ÿ1.0.11
package;@tallyui/connector-vendure;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3
package;@tallyui/core;ÿ0.2.1,ÿ0.2.2,ÿ0.2.3
package;@tallyui/connector-woocommerce;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3
package;@tallyui/components;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3
package;@uipath/ui-widgets-multi-file-upload;ÿ1.0.1
package;@tallyui/pos;ÿ0.1.1,ÿ0.1.2,ÿ0.1.3
package;@tallyui/database;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3
package;@supersurkhet/cli;ÿ0.0.2,ÿ0.0.3,ÿ0.0.4,ÿ0.0.5,ÿ0.0.6,ÿ0.0.7
package;@tallyui/connector-shopify;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3
package;@tolka/cli;ÿ1.0.2,ÿ1.0.3,ÿ1.0.4,ÿ1.0.5,ÿ1.0.6
package;@supersurkhet/sdk;ÿ0.0.2,ÿ0.0.3,ÿ0.0.4,ÿ0.0.5,ÿ0.0.6,ÿ0.0.7
package;@uipath/access-policy-tool;ÿ0.3.1
package;@uipath/context-grounding-tool;ÿ0.1.1
package;@uipath/gov-tool;ÿ0.3.1
package;@uipath/admin-tool;ÿ0.1.1
package;@uipath/identity-tool;ÿ0.1.1
package;@uipath/llmgw-tool;ÿ1.0.1
package;@uipath/resourcecatalog-tool;ÿ0.1.1
package;@uipath/functions-tool;ÿ1.0.1
package;@uipath/access-policy-sdk;ÿ0.3.1
package;@uipath/platform-tool;ÿ1.0.1
