type;iocs;Verions;Date;Reference
package;@squawk/airspace-data;ÿ0.5.3,ÿ0.5.4,ÿ0.5.5,ÿ0.5.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@mistralai/mistralai-azure;ÿ1.7.1,ÿ1.7.2,ÿ1.7.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/solution-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/eslint-plugin-start;ÿ0.0.4,ÿ0.0.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/maestro-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/codedapp-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/agent-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@draftlab/auth;ÿ0.24.1,ÿ0.24.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/orchestrator-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/integrationservice-tool;ÿ1.0.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@taskflow-corp/cli;ÿ0.1.24,ÿ0.1.25,ÿ0.1.26,ÿ0.1.27,ÿ0.1.28,ÿ0.1.29;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/vue-router-ssr-query;ÿ1.166.15,ÿ1.166.18;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/rpa-legacy-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/vertical-solutions-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/flow-tool;ÿ1.0.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/codedagent-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/common;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/resource-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/auth;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/docsai-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
