Type,Artifacts,Package,Version,Date,Reference
package,@squawk/geo@0.4.4,@squawk/geo,0.4.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@mesadev/rest@0.28.3,@mesadev/rest,0.28.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/procedure-data@0.7.3,@squawk/procedure-data,0.7.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/navaid-data@0.6.4,@squawk/navaid-data,0.6.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/fix-data@0.6.4,@squawk/fix-data,0.6.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/navaids@0.4.2,@squawk/navaids,0.4.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/fixes@0.3.2,@squawk/fixes,0.3.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/airport-data@0.7.4,@squawk/airport-data,0.7.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/airway-data@0.5.4,@squawk/airway-data,0.5.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/units@0.4.3,@squawk/units,0.4.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/procedures@0.5.2,@squawk/procedures,0.5.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/airways@0.4.2,@squawk/airways,0.4.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/icao-registry@0.5.2,@squawk/icao-registry,0.5.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/apollo-core@5.9.2,@uipath/apollo-core,5.9.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/notams@0.3.6,@squawk/notams,0.3.6,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/filesystem@1.0.1,@uipath/filesystem,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/solutionpackager-tool-core@0.0.34,@uipath/solutionpackager-tool-core,0.0.34,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/flight-math@0.5.4,@squawk/flight-math,0.5.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/airspace-data@0.5.3,@squawk/airspace-data,0.5.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@mistralai/mistralai-azure@1.7.1,@mistralai/mistralai-azure,1.7.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/solution-tool@1.0.1,@uipath/solution-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/eslint-plugin-start@0.0.4,@tanstack/eslint-plugin-start,0.0.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/maestro-tool@1.0.1,@uipath/maestro-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/codedapp-tool@1.0.1,@uipath/codedapp-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/agent-tool@1.0.1,@uipath/agent-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@draftlab/auth@0.24.1,@draftlab/auth,0.24.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/orchestrator-tool@1.0.1,@uipath/orchestrator-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/integrationservice-tool@1.0.2,@uipath/integrationservice-tool,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@taskflow-corp/cli@0.1.24,@taskflow-corp/cli,0.1.24,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/vue-router-ssr-query@1.166.15,@tanstack/vue-router-ssr-query,1.166.15,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/rpa-legacy-tool@1.0.1,@uipath/rpa-legacy-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/vertical-solutions-tool@1.0.1,@uipath/vertical-solutions-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/flow-tool@1.0.2,@uipath/flow-tool,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/codedagent-tool@1.0.1,@uipath/codedagent-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/common@1.0.1,@uipath/common,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/resource-tool@1.0.1,@uipath/resource-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/auth@1.0.1,@uipath/auth,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/docsai-tool@1.0.1,@uipath/docsai-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/case-tool@1.0.1,@uipath/case-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/api-workflow-tool@1.0.1,@uipath/api-workflow-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/vue-router-devtools@1.166.16,@tanstack/vue-router-devtools,1.166.16,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/test-manager-tool@1.0.2,@uipath/test-manager-tool,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/robot@1.3.4,@uipath/robot,1.3.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/traces-tool@1.0.1,@uipath/traces-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/agent-sdk@1.0.2,@uipath/agent-sdk,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/integrationservice-sdk@1.0.2,@uipath/integrationservice-sdk,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/maestro-sdk@1.0.1,@uipath/maestro-sdk,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/data-fabric-tool@1.0.2,@uipath/data-fabric-tool,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@mesadev/saguaro@0.4.22,@mesadev/saguaro,0.4.22,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/tasks-tool@1.0.1,@uipath/tasks-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/insights-tool@1.0.1,@uipath/insights-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
